date,gp_log_678fa802,gp_ts_mean_36a2fb67,gp_delta_3cad6872,gp_delta_9e7e6de3,gp_390d175a,gp_ts_std_6b19a484,gp_acb1788a,gp_210ab9e7,gp_ts_std_2e3c7ab3,gp_1aa5045b,gp_ts_std_5b6e875a,close
2020-01-01,106.45744712045168,4.6149375744139824,0.0,0.0,0.0,7.680244474715048e-06,0.0,13251085.490952564,0.0,3.819892607540533e-06,0.0,101.02342830602247
2020-01-02,107.04224286826003,4.624243014637464,0.0,0.0,0.006813647056314046,0.8410057500775934,101.60092017140416,51506726.5557161,1.6328076084739277e-08,2.2626839445494004e-08,1.3857627394719056,101.6175294940543
2020-01-03,106.12912323416127,4.613711362395483,0.0,0.0,-0.010089424861985196,0.6582036003989659,0.0,20389808.078014728,3.2281010094875425e-08,5.394464022922533e-08,1.6710951754817915,100.69387820771355
2020-01-06,100.95010592972797,4.561582988374054,0.0,0.0,-0.3857981543979734,3.634889514913772,0.0,17135852.002157256,2.1212190175639768e-07,4.108577561859802e-07,1.9368945534809139,95.46273252925883
2020-01-07,99.27021042990934,4.536468118919288,0.0,0.0,-0.04965496503871186,4.228685807355404,0.0,16483165.725107532,2.565457314376312e-07,1.656540576935299e-07,0.6457096626213095,93.75772215998543
2020-01-08,104.04213720956602,4.59210400962759,-2.4381434756720495,0.0,0.24329227333617004,3.8059774552317776,101.60092017140416,19199184.435891174,1.9823641300704627e-07,2.5877940558632865e-07,1.3054080310519458,98.58528483035042
2020-01-09,102.89511025455046,4.5782646363383925,-4.186951804770246,0.0,-0.019202842737760826,3.4829066981074766,0.0,11720592.06570435,2.9716132756627693e-07,1.3824180656568623e-07,0.46520793165743846,97.43057768928405
2020-01-10,101.67052003572412,4.568696366619278,-4.273945569954094,0.0,-0.013257400962881211,3.2597840563214935,0.0,38424699.11246434,8.48356430008862e-08,3.291668458032735e-08,0.38800536444314443,96.41993263775946
2020-01-13,102.10363078805732,4.567283869294199,1.3888983635087442,0.0,0.003632633741741843,3.056397598797662,101.60092017140416,50808664.14830439,6.015504737295207e-08,1.6040225924191437e-08,0.2666480474156141,96.85163089276757
2020-01-14,102.54299579389694,4.580483902431713,3.546473771759267,0.0,0.0051656930957083985,2.8816245229127158,101.60092017140416,14464969.07847462,1.9921401195394694e-07,7.678239554541939e-08,0.38542668154873294,97.3041959317447
2020-01-15,102.35268629432052,4.574923398214147,-1.4769589023996872,0.0,-0.0007765142438450204,2.7355078868895437,0.0,43144535.25584671,6.340334576947014e-08,8.923026173226923e-09,0.14073431086224353,97.10832592795073
2020-01-16,99.79508189151748,4.54618718682362,-2.9085923755268936,0.0,-0.0774443387278211,2.745305906794688,0.0,52044955.572649136,5.274874147913408e-08,5.438237230949092e-08,1.0309700437308642,94.52198531375716
2020-01-17,98.54567408453514,4.537338954234672,-3.14927095583775,0.0,-0.02864414096324033,2.923100097491282,0.0,41681462.31618388,7.012949966384251e-08,5.122338405444666e-08,0.7304113718189907,93.27066168192171
2020-01-20,100.22350231430231,4.555791286827652,-1.8846886484857066,0.0,0.03206875324738288,2.8669562558399364,101.60092017140416,12071711.34570907,2.3749377149073445e-07,1.487263785137281e-07,0.626232753727314,94.96694224428187
2020-01-21,100.87361257207604,4.563352614882087,-1.679582101634665,0.0,0.006364885173635186,2.7727845598707437,101.60092017140416,20309604.161016375,1.365257805069886e-07,4.556692578951614e-08,0.3337605954003949,95.62461383011004
2020-01-22,103.08428271393255,4.581345317808026,0.8011736841298074,0.0,0.07800943374208205,2.678765277416758,101.60092017140416,32521853.980711814,8.236816016102558e-08,1.0278557404044576e-07,1.2478799312684075,97.90949961208054
2020-01-23,103.85049654723746,4.58961083540417,4.125039193289325,0.0,0.010432819666941803,2.627520059057691,101.60092017140416,42683525.2499053,6.15581783293197e-08,3.269254465010238e-08,0.5310836924901523,98.64702450704648
2020-01-24,110.55720792564195,4.654332892775819,12.059296756007512,0.0,0.5350851051438099,3.270743078898178,105.22588014049515,16531552.506401075,1.9784851287450073e-07,5.101453898612852e-07,2.5784646164355083,105.32995843792922
2020-01-27,110.80919646652698,4.658239321116241,10.57798846277214,0.0,0.0010650598793431885,3.6944576944202083,105.22588014049515,46776068.87597107,7.898179097128138e-08,1.1179058873382594e-08,0.14153969840272954,105.54493070705401
2020-01-28,110.00135611971143,4.6441988312122,8.8238814047225,0.0,-0.014067031867071403,3.900605054371347,0.0,9343374.081875592,4.17472855115348e-07,1.4342268355859852e-07,0.3435497225777009,104.44849523483254
2020-01-29,108.35678016559064,4.6311905293198095,4.881411366738817,0.0,-0.04405655340697849,3.897481586347406,0.0,38820079.105418056,1.0039859980098395e-07,7.037739778118036e-08,0.6903719687884091,102.79091097881935
2020-01-30,108.90832590448532,4.639067609740927,4.7033092910886865,0.0,0.004661187852116585,3.931535633978685,105.22588014049515,30863394.861093573,1.273850673807366e-07,2.7901311437909287e-08,0.2144519802065382,103.35033379813517
2020-01-31,107.50394548055063,4.623304701890298,-3.3997679715793794,0.0,-0.026986281572055584,3.899742056628723,0.0,47555893.7422692,8.200333859276221e-08,4.072952603008554e-08,0.47813048792559903,101.93019046634984
2020-02-03,102.17390177790517,4.57107545667898,-8.997013188560942,0.0,-0.32030525942889726,3.838940905701778,0.0,30855130.16023177,1.2441823728391434e-07,1.8621466484711906e-07,1.4552932988031948,96.54791751849307
2020-02-04,101.82807676803802,4.568320855703526,-8.183049332820758,0.0,-0.002230503432949302,3.7888100795628006,0.0,21988362.155236185,1.7230979064352708e-07,3.457049724359036e-08,0.20082903076088482,96.26544590201178
2020-02-05,101.82755596855097,4.562005259598076,-6.532301472400064,0.0,-2.0163208764974657e-05,3.733294662278986,0.0,6664642.2405174,5.601643010306817e-07,4.2598587976068504e-08,0.07470293305687876,96.25860950641929
2020-02-06,101.91862106698268,4.575904448082428,-6.946893183679904,0.0,0.00027503137320942725,3.6773664370184496,105.22588014049515,46562156.37799233,7.897758014395918e-08,3.931695115032329e-09,0.04797391792840038,96.40344061445526
2020-02-07,100.59923465545276,4.556019286618946,-6.605907719045021,0.0,-0.023488886626893378,3.6744956944040097,0.0,17671521.503578052,2.0793318185194262e-07,1.1741053128502987e-07,0.5336525484458163,95.32428274730482
2020-02-10,102.76666539366933,4.582430254006809,0.9837378156539529,0.0,0.05865426068399926,3.61914180132361,105.22588014049515,26540513.103586826,1.3636291759689076e-07,9.764729132573065e-08,0.6652772863426775,97.53165533414702
